rank,tier,hostile_rank,deep_read_rank,serious_skim_rank,openalex_id,year,title,authors,venue,doi,cited_by_count,relevance_score,query_hits,family,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
1,hostile_prior;deep_read;serious_skim;landscape,1,1,1,https://openalex.org/W4389666779,2023,NBV-SC: Next Best View Planning Based on Shape Completion for Fruit Mapping and Reconstruction,Rohit Menon; Tobias Zaenker; Nils Dengler; Maren Bennewitz,,https://doi.org/10.1109/iros55552.2023.10341855,30,42.0019,2,active_perception_next_best_view,"Select a view or sensing action that improves 3D reconstruction, coverage, or information gain.","Optimizes a candidate camera/view action by expected coverage, entropy reduction, reconstruction utility, or learned view value.",The objective is global reconstruction or map coverage; candidate views are evaluated at scene scale; individual depth holes are not treated as first-class decision objects.,"Utility granularity, candidate action set, scene representation, and reconstruction objective are usually fixed.",Can waste motion on global coverage while a small local hole remains decision-critical.,"Makes view selection for 3D perception, information gain, and active reconstruction less novel.",Hole-conditioned micro-actions that target ambiguous pixels rather than global map utility.,"Active perception for fruit mapping and harvesting is a difficult task since occlusions occur frequently and the location as well as size of fruits change over time. State-of-the-art viewpoint planning approaches utilize computationally expensive ray casting operations to find good viewpoints aiming at maximizing information gain and covering the fruits in the scene. In this paper, we present a novel viewpoint planning approach that explicitly uses information about the predicted fruit shapes to compute targeted viewpoints that observe as yet unobserved parts of the fruits. Furthermore, we formulate the concept of viewpoint dissimilarity to r"
2,hostile_prior;deep_read;serious_skim;landscape,2,2,2,https://openalex.org/W4200492212,2021,DepthGrasp: Depth Completion of Transparent Objects Using Self-Attentive Adversarial Network with Spectral Residual for Grasping,Yingjie Tang; Junhong Chen; Zhenguo Yang; Zehang Lin; Qing Li; Wenyin Liu,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros51168.2021.9636382,39,34.3911,2,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Transparent objects with unique visual properties often make depth cameras fail to scan their reflective and refractive surfaces. Recent studies on depth completion of transparent objects have leveraged a linear system based on the geometric constraints to predict the missing depth, which is hard to be employed in an end-to-end framework and achieve joint optimization. In this paper, we propose DepthGrasp - a deep learning approach for depth completion of transparent objects from a raw RGB-D image. More specifically, we use a generative adversarial network, which utilizes the generator to complete the depth maps by predicting the missing or i"
3,hostile_prior;deep_read;serious_skim;landscape,3,3,3,https://openalex.org/W4399062213,2024,Transparent Object Depth Completion,Yifan Zhou; Wanli Peng; Zhongyu Yang; He Liu; Yi Sun,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2405.15299,0,32.9,1,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"The perception of transparent objects for grasp and manipulation remains a major challenge, because existing robotic grasp methods which heavily rely on depth maps are not suitable for transparent objects due to their unique visual properties. These properties lead to gaps and inaccuracies in the depth maps of the transparent objects captured by depth sensors. To address this issue, we propose an end-to-end network for transparent object depth completion that combines the strengths of single-view RGB-D based depth completion and multi-view depth estimation. Moreover, we introduce a depth refinement module based on confidence estimation to fus"
4,hostile_prior;deep_read;serious_skim;landscape,4,4,4,https://openalex.org/W4386978251,2023,"Affordance-grounded Robot Perception and Manipulation in Adversarial, Translucent, and Cluttered Environments",Xiaotong Chen,Deep Blue (University of Michigan),https://doi.org/10.7302/8324,0,32.8,1,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Robots in the future need to work in natural scenarios and finish a variety of tasks without much supervision from humans. To achieve this goal, we want the robots to perform perception and action robustly and adaptively in unstructured environments. For example, robots are expected to correctly perceive objects in unseen cases, such as dark environments, heavy clutter or transparent materials. Besides, they should learn skills that are transferable across novel objects in categories rather than fixed on known instances. In this dissertation, we focus on the problem of perceiving and manipulating various objects in complex adversarial environ"
5,hostile_prior;deep_read;serious_skim;landscape,5,5,5,https://openalex.org/W4285613423,2022,SLFNet: A Stereo and LiDAR Fusion Network for Depth Completion,Yongjian Zhang; Longguang Wang; Kunhong Li; Zhiheng Fu; Yulan Guo,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2022.3191235,15,31.6704,3,passive_depth_completion,"Infer dense metric depth from sparse, noisy, or partially missing RGB-D/LiDAR measurements.","Uses image/depth priors, sparse-to-dense networks, propagation, or local smoothness to fill missing depth from the current observation.",The current image and priors contain enough evidence; the camera pose is fixed at inference; missingness can be handled as statistical imputation.,"Camera pose, motion budget, viewpoint, and missingness process are fixed at completion time.",Can be provably non-identifiable when two 3D scenes induce the same first observation and hole mask.,Makes dense depth imputation from RGB-D/LiDAR priors less novel.,Set-valued completion plus purposeful parallax to distinguish indistinguishable first-view hypotheses.,"Acquiring dense and precise depth information in real time is highly demanded for robotic perception and automatic driving. Motivated by the complementary nature of stereo images and LiDAR point clouds, we propose an efficient stereo-LiDAR fusion network (SLFNet) to predict a dense depth map of a scene. Specifically, the LiDAR point cloud is first projected onto each image plane of the stereo images to generate sparse RGB-D maps. Then, multi-modal feature fusion is performed between RGB image and sparse RGB-D map of the same viewpoint, and the resultant features are utilized to generate a coarse disparity map for stereo fusion. Next, compleme"
6,hostile_prior;deep_read;serious_skim;landscape,6,6,6,https://openalex.org/W3171847116,2021,RGB-D Local Implicit Function for Depth Completion of Transparent Objects,Luyang Zhu; Arsalan Mousavian; Xiang Yu; Hammad Mazhar; Jozef van Eenbergen; Shoubhik Debnath; et al.,,https://doi.org/10.1109/cvpr46437.2021.00462,85,31.659,2,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Majority of the perception methods in robotics require depth information provided by RGB-D cameras. However, standard 3D sensors fail to capture depth of transparent objects due to refraction and absorption of light. In this paper, we introduce a new approach for depth completion of transparent objects from a single RGB-D image. Key to our approach is a local implicit neural representation built on ray-voxel pairs that allows our method to generalize to unseen objects and achieve fast inference speed. Based on this representation, we present a novel frame-work that can complete missing depth given noisy RGB-D input. We further improve the dep"
7,hostile_prior;deep_read;serious_skim;landscape,7,7,7,https://openalex.org/W4283317659,2022,Attention-driven Next-best-view Planning for Efficient Reconstruction of Plants and Targeted Plant Parts,Akshay K. Burusa; E.J. van Henten; Gert Kootstra,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2206.10274,11,31.5697,1,active_perception_next_best_view,"Select a view or sensing action that improves 3D reconstruction, coverage, or information gain.","Optimizes a candidate camera/view action by expected coverage, entropy reduction, reconstruction utility, or learned view value.",The objective is global reconstruction or map coverage; candidate views are evaluated at scene scale; individual depth holes are not treated as first-class decision objects.,"Utility granularity, candidate action set, scene representation, and reconstruction objective are usually fixed.",Can waste motion on global coverage while a small local hole remains decision-critical.,"Makes view selection for 3D perception, information gain, and active reconstruction less novel.",Hole-conditioned micro-actions that target ambiguous pixels rather than global map utility.,"Robots in tomato greenhouses need to perceive the plant and plant parts accurately to automate monitoring, harvesting, and de-leafing tasks. Existing perception systems struggle with the high levels of occlusion in plants and often result in poor perception accuracy. One reason for this is because they use fixed cameras or predefined camera movements. Next-best-view (NBV) planning presents an alternate approach, in which the camera viewpoints are reasoned and strategically planned such that the perception accuracy is improved. However, existing NBV-planning algorithms are agnostic to the task-at-hand and give equal importance to all the plant"
8,hostile_prior;deep_read;serious_skim;landscape,8,8,8,https://openalex.org/W4405779023,2024,NeuralLabeling: A versatile toolset for labeling vision datasets using Neural Radiance Fields,Floris Erich; Naoya Chiba; Abdullah Mustafa; Yusuke Yoshiyasu; Noriaki Ando; Ryo Hanai; et al.,,https://doi.org/10.1109/iros58592.2024.10801449,2,31.2845,1,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"We present NeuralLabeling, a labeling approach and toolset for annotating 3D scenes using either bounding boxes or meshes and generating segmentation masks, affordance maps, 2D bounding boxes, 3D bounding boxes, 6DOF object poses, depth maps, and object meshes. NeuralLabeling uses Neural Radiance Fields (NeRF) as a renderer, allowing labeling to be performed using 3D spatial tools while incorporating geometric clues such as occlusions, relying only on images captured from multiple viewpoints as input. To demonstrate the applicability of NeuralLabeling to a practical problem in robotics, we added ground truth depth maps to 30000 frames of tran"
9,hostile_prior;deep_read;serious_skim;landscape,9,9,9,https://openalex.org/W3141989118,2021,RGB-D Local Implicit Function for Depth Completion of Transparent Objects,Luyang Zhu; Arsalan Mousavian; Xiang Yu; Hammad Mazhar; Jozef van Eenbergen; Shoubhik Debnath; et al.,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2104.00622,4,30.6633,5,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Majority of the perception methods in robotics require depth information provided by RGB-D cameras. However, standard 3D sensors fail to capture depth of transparent objects due to refraction and absorption of light. In this paper, we introduce a new approach for depth completion of transparent objects from a single RGB-D image. Key to our approach is a local implicit neural representation built on ray-voxel pairs that allows our method to generalize to unseen objects and achieve fast inference speed. Based on this representation, we present a novel framework that can complete missing depth given noisy RGB-D input. We further improve the dept"
10,hostile_prior;deep_read;serious_skim;landscape,10,10,10,https://openalex.org/W4285190019,2022,TransCG: A Large-Scale Real-World Dataset for Transparent Object Depth Completion and a Grasping Baseline,Hongjie Fang; Hao-Shu Fang; Sheng Xu; Cewu Lu,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2022.3183256,116,30.3668,3,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Transparent objects are common in our daily life and frequently handled in the automated production line. Robust vision-based robotic grasping and manipulation for these objects would be beneficial for automation. However, the majority of current grasping algorithms would fail in this case since they heavily rely on the depth image, while ordinary depth sensors usually fail to produce accurate depth information for transparent objects owing to the reflection and refraction of light. In this letter, we address this issue by contributing a large-scale real-world dataset for transparent object depth completion, which contains 57,715 RGB-D images"
